datetime,OZONE_BARGO,OZONE_BRINGELLY,OZONE_CAMDEN,OZONE_CAMPBELLTOWN_WEST,OZONE_LIVERPOOL,OZONE_OAKDALE,forecast_hours
2023/06/13 17:00,1.025201559,0.654012918,1.039649725,0.348487496,0.221963644,2.022804499,19
2023/06/13 18:00,0.561794639,0.222391978,0.632965744,0,0,2.001676798,20
2023/06/13 19:00,0.436272979,0.081501395,0.460148752,0,0,1.964560032,21
2023/06/13 20:00,0.445513546,0.070980534,0.401052177,0,0,1.933514595,22
2023/06/13 21:00,0.50719142,0.129047886,0.409749269,0,0,1.905792236,23
2023/06/13 22:00,0.583061337,0.188448519,0.430851221,0.075413719,0.048385099,1.90286994,24
2023/06/13 23:00,0.649992943,0.229675144,0.44223237,0.150048211,0.107996434,1.913276911,25
2023/06/14 0:00,0.70379293,0.254145354,0.44369185,0.199574813,0.142377466,1.920781851,26
2023/06/14 1:00,0.752897859,0.267609119,0.442437321,0.229909584,0.156246558,1.922758102,27
2023/06/14 2:00,0.806793928,0.276536852,0.444147676,0.24887003,0.157356158,1.9190588,28
2023/06/14 3:00,0.86707294,0.285145044,0.451627612,0.261372387,0.151370764,1.911783934,29
2023/06/14 4:00,0.931494355,0.296135962,0.464627802,0.272063375,0.145300105,1.904793739,30
2023/06/14 5:00,1.011086583,0.315856636,0.486214399,0.289102912,0.14871636,1.894373655,31
2023/06/14 6:00,1.143162489,0.359300226,0.532779336,0.328188241,0.175649226,1.866134405,32
2023/06/14 7:00,1.373710036,0.461427152,0.657526553,0.427330136,0.249401435,1.841138124,33
2023/06/14 8:00,1.705923438,0.720233083,0.908552349,0.687090337,0.474285603,1.899627686,34
2023/06/14 9:00,2.065963268,1.13703227,1.25513792,1.103197336,0.887571812,2.005799532,35
2023/06/14 10:00,2.300533533,1.56929028,1.600389481,1.537597656,1.360294461,2.086933136,36
2023/06/14 11:00,2.481491566,2.032419443,1.99369359,2.005651236,1.863763094,2.244522333,37
2023/06/14 12:00,2.623398781,2.384414196,2.327412128,2.346152544,2.22450161,2.412092447,38
2023/06/14 13:00,2.723427773,2.607102394,2.542560577,2.555875301,2.439260721,2.543661356,39
2023/06/14 14:00,2.762454033,2.68950367,2.634526968,2.62959528,2.521363497,2.606045008,40
2023/06/14 15:00,2.754255772,2.653585672,2.629023075,2.575257778,2.463135242,2.63497901,41
2023/06/14 16:00,2.718756914,2.458748817,2.526376486,2.335097551,2.180128336,2.692299366,42
2023/06/14 17:00,2.457909822,2.092626572,2.257623196,1.944132924,1.753473163,2.562878847,43
2023/06/14 18:00,2.205872059,1.701856494,2.007850409,1.522492766,1.27721405,2.489046097,44
2023/06/14 19:00,2.035250902,1.410431504,1.80346632,1.222734094,0.962597609,2.450677633,45
2023/06/14 20:00,1.940334916,1.238095522,1.65174818,1.063167691,0.81232053,2.425638437,46
2023/06/14 21:00,1.899848104,1.149066806,1.558640718,0.993345916,0.748587608,2.410367727,47
2023/06/14 22:00,1.887474179,1.104232907,1.506423235,0.966110229,0.722114682,2.396725893,48
